year mon day hour min sec camp flt prof lat lon alt pressure theta co2 co2qcls co2oms co2ao2 ch4pfp ch4qcls sf6pfp strat h2oref n2oref o3ref co2mspo co2mqcls co2moms co2mao2 ch4mqcls
2009 1 10 1 0 26.5 1 2 11 61.56933 -122.611 4624.866 541.8785 289.2271 390.17 390.0925 NA 390.004 1869.97 1874.297 6.85 0 647.5 322.786 NA 6.76 0.078 NA 0.166 -4.327
2009 1 10 2 36 40 1 2 15 58.20884 -135.188 4020.84 594.992 289.1393 388.92 388.6233 388.4367 388.761 1861.1 1861.7 6.85 0 1710 322.696 44.04 5.498 0.297 0.483 0.159 -0.6
2009 1 10 2 41 46 1 2 15 58.3915 -136.0378 6258.205 434.3832 295.5199 388.26 388.258 388.09 388.4718 1853.07 1856.588 6.88 0 85 322.376 NA 4.836 0.002 0.17 -0.212 -3.518
2009 1 10 2 46 55.5 1 2 15 58.63583 -136.9754 8491.809 309.7023 307.6414 385.98 385.794 385.7533 385.7478 1819.39 1823.95 6.71 0 16.23333 321.926 NA 2.554 0.186 0.227 0.232 -4.56
2009 1 12 19 29 5 1 3 19 64.81913 -147.851 500.2224 944.0254 259.8955 392.99 392.438 NA 392.164 1868.3 1876.434 6.89 0 823.8 322.9897 36.76 9.565 0.552 NA 0.826 -8.134
2009 1 12 19 29 33.5 1 3 19 64.83472 -147.8164 905.708 894.7817 269.2944 389.74 390.2975 NA 390.4058 1864.05 1871.91 6.84 0 1375 322.8097 NA 6.315 -0.558 NA -0.666 -7.86
2009 1 12 19 35 41.5 1 3 19 65.02966 -148.0173 3867.981 604.6655 288.3127 389.29 NA 389.0983 388.9447 1862.38 NA 6.83 0 1286.667 322.5697 52 5.866 NA 0.192 0.345 NA
2009 1 12 19 41 28.5 1 3 19 65.62848 -148.1415 6410.017 421.8788 298.6837 388.91 388.7783 388.8 NA 1858.04 1861.132 6.91 0 310 322.9197 46.27 5.487 0.132 0.11 NA -3.092
2009 1 12 20 34 6.5 1 3 21 70.19604 -148.4489 198.8845 990.1795 254.7105 391.92 392.0875 392.45 393.302 1895.99 1896.435 6.9 0 491 322.9797 31.71 8.489 -0.167 -0.53 -1.382 -0.445
2009 1 12 20 37 34.5 1 3 21 70.25323 -148.5242 1710.272 810.8545 275.185 389.31 389.0475 389 389.3035 1862.56 1863.852 6.9 0 652.75 322.5197 49.11 5.877 0.262 0.31 0.007 -1.293
2009 1 12 20 43 41 1 3 21 70.76028 -148.8338 4347.783 566.5206 282.5991 389.5 NA 389.314 389.3012 1865.63 NA 6.9 0 130.4 322.6797 50 6.065 NA 0.186 0.199 NA
2009 1 12 20 49 49 1 3 21 71.32335 -149.2774 6939.611 385.3506 291.5326 389.2 388.9343 NA 389.3141 1862.51 1867.08 6.87 0 25.08571 322.5297 42.41 5.763 0.266 NA -0.114 -4.57
2009 1 12 21 20 33.5 1 3 0 74.11231 -151.9404 334.2755 978.0541 255.8321 392.46 391.925 NA 393.0025 1908.45 1912.812 6.83 0 714.25 322.6797 NA 9.01 0.535 NA -0.543 -4.362
2009 1 12 21 26 59 1 3 23 74.5488 -152.4457 2823.36 698.4911 276.5001 390.47 390.198 390.376 390.747 1877.03 1880.878 6.82 0 619.8 322.7097 44 7.017 0.272 0.094 -0.277 -3.848
2009 1 12 21 33 26.5 1 3 23 75.0806 -153.0947 5525.819 472.7086 283.6206 389.9 389.6333 389.6783 389.349 1868.17 1877.568 6.9 0 182.6667 322.6197 41.81 6.443 0.267 0.222 0.551 -9.398
2009 1 12 21 44 27 1 3 24 76.09447 -154.3909 7507.148 345.5749 289.16 389.12 NA 388.8971 389.1367 1862.72 NA 6.81 0 28.95714 322.3897 43.07 5.658 NA 0.223 -0.017 NA
2009 1 12 22 6 28.5 1 3 25 77.63622 -156.7872 1306.579 849.8234 261.1569 392.87 392.38 392.5575 392.06 1904.67 NA 6.86 0 336.75 323.1497 33 9.397 0.49 0.312 0.81 NA
2009 1 12 22 13 56 1 3 25 78.17294 -157.7756 4376.549 549.456 277.9848 388.8 NA 388.676 388.93 1863.58 NA 6.78 0 122 322.4397 46.28 5.324 NA 0.124 -0.13 NA
2009 1 12 22 23 33 1 3 25 79.0196 -159.5449 7684.929 329.6153 294.1048 386.83 386.5189 386.7211 NA 1835.05 1838.772 6.73 0 21.91111 321.8497 67.03 3.35 0.311 0.109 NA -3.722
2009 1 12 22 49 10 1 3 25 78.87653 -159.2223 8526.829 287.7146 300.5386 384.73 384.4122 384.4778 384.632 1801.41 1804.667 6.53 1 14.76667 318.9397 153.21 1.24 0.318 0.252 0.098 -3.257
2009 1 12 23 41 16 1 3 25 73.61809 -151.4029 9423.44 255.8679 306.7263 384.62 384.35 384.1967 384.3474 1794.13 1800.772 6.58 1 11.24444 318.1397 143.55 1.108 0.27 0.423 0.273 -6.642
2009 1 12 23 47 25.5 1 3 25 72.9242 -150.6995 11772.37 173.8126 342.424 383.54 383.235 383.215 383.7535 1728.74 1732.939 6.24 1 3.8825 306.8297 438.73 0.025 0.305 0.325 -0.213 -4.199
2009 1 12 23 56 36.5 1 3 0 71.82181 -149.6935 12248.75 161.8702 351.9107 383.36 383.1121 382.9086 NA 1715.93 1721.377 6.29 1 3.722143 303.5997 506.02 -0.159 0.248 0.451 NA -5.447
2009 1 13 0 51 43.5 1 3 0 65.21059 -149.2878 12532.44 161.7555 364.4774 383.79 383.5807 383.4571 384.2556 1759.9 1766.33 6.53 1 3.117857 314.0697 297.57 0.253 0.209 0.333 -0.466 -6.43
2009 1 13 1 20 17 1 3 26 62.05773 -150.2434 3599.82 628.9825 286.4619 388.47 NA NA NA 1857.37 NA 6.81 0 1180 322.6997 50.63 4.916 NA NA NA NA
2009 1 13 1 32 37 1 3 26 61.17256 -150.2664 459.2867 951.2963 271.0127 390.08 NA 389.9733 389.9897 1867.94 NA 6.88 0 4216.667 322.8597 41.93 6.518 NA 0.107 0.09 NA
2009 1 14 19 56 55.5 1 4 27 59.72233 -154.0294 11980.22 187.4164 344.9404 383.97 383.9707 383.5636 384.4054 1756.05 1758.016 6.39 1 16.28571 312.8355 321.2143 0.432 -0.001 0.406 -0.435 -1.966
2009 1 14 20 16 19 1 4 0 58.4103 -157.3707 11915.06 187.3952 360.1184 383.32 NA 382.9927 383.7837 1712.51 1717.158 6.32 1 3.733333 303.6255 497.4667 -0.22 NA 0.327 -0.464 -4.648
2009 1 14 20 43 26.5 1 4 28 56.14768 -161.3886 8802.532 296.4114 316.9156 385.7 NA 385.321 386.0334 1806.76 NA 6.64 0 44.44 320.1655 115.2 2.16 NA 0.379 -0.333 NA
2009 1 14 21 3 54 1 4 28 54.49313 -162.4671 5844.75 452.9283 300.2136 388.42 388.2943 387.66 388.273 1848.49 1856.399 6.8 0 428.1429 322.0555 68.42857 4.879 0.126 0.76 0.147 -7.909
2009 1 14 21 23 34.5 1 4 28 53.02548 -161.9198 2346.142 726.4695 290.1181 389.5 389.8633 389.12 NA 1865.65 1870.708 6.93 0 3408.333 323.0555 46.16667 5.952 -0.363 0.38 NA -5.058
2009 1 14 21 28 53.5 1 4 28 52.66089 -161.8017 313.6137 938.9795 281.3904 390.27 389.908 NA 390.4353 1868.69 1874.893 6.82 0 7960 323.1055 43.16667 6.72 0.362 NA -0.165 -6.203
2009 1 14 22 12 10 1 4 0 49.31659 -160.8516 319.874 938.9613 282.2369 389.86 389.6425 389.698 390.712 1871.41 1875.732 6.89 0 8312 323.3955 43.2 6.268 0.218 0.162 -0.852 -4.322
2009 1 14 22 16 28 1 4 31 49.04383 -160.7935 1938.158 766.2791 287.6848 390.1 390.08 390.112 390.3914 1870.87 NA 6.97 0 4934 322.9655 45.2 6.496 0.02 -0.012 -0.291 NA
2009 1 14 22 23 18.5 1 4 31 48.54471 -160.6888 4997.933 510.0659 296.2873 389.08 389.174 389.0283 389.2173 1858.74 1861.925 6.88 0 368.3333 322.4355 50.66667 5.458 -0.094 0.052 -0.137 -3.185
2009 1 14 22 32 29.5 1 4 0 47.78866 -160.534 8003.376 329.7216 308.8761 385.42 385.6525 385.28 385.5989 1812.36 1804.756 6.66 0 17.9375 319.9355 126.25 1.773 -0.232 0.14 -0.179 7.604
2009 1 14 23 22 43 1 4 34 43.70371 -159.7247 6320.296 426.0483 300.8595 389.21 389.1943 388.9743 NA 1865.38 1868.86 6.87 0 445.4286 322.6355 51.14286 5.52 0.016 0.236 NA -3.48
2009 1 14 23 29 53.5 1 4 34 43.14329 -159.6096 3115.309 662.4499 293.4576 389.14 389.2283 NA 389.3662 1859.16 1866.843 6.86 0 1665 322.4355 50.33333 5.46 -0.088 NA -0.226 -7.683
2009 1 14 23 37 53 1 4 0 42.57718 -159.4953 406.7572 934.0117 283.0155 389.06 389.32 388.838 389.1428 1865.74 1868.46 6.81 0 8974 322.8955 45.8 5.391 -0.26 0.222 -0.083 -2.72
2009 1 15 0 46 22.5 1 4 38 37.58089 -158.4994 6632.397 421.7085 312.78 388.04 388.148 387.6883 NA 1846.61 1852.375 6.81 0 1203.4 322.7355 46.5 4.413 -0.108 0.352 NA -5.765
2009 1 15 0 53 43.5 1 4 38 37.03859 -158.3916 3241.68 662.9864 300.8218 388.12 388.3125 387.7875 388.119 1847.24 1855.3 6.79 0 6482.5 322.3855 46.25 4.495 -0.192 0.332 0.001 -8.06
2009 1 15 1 0 49 1 4 0 36.58778 -158.3032 302.9672 952.8817 289.4248 NA 387.8475 NA 388.3688 1851.43 1855.436 6.76 0 15220 322.4655 45.8 NA NA NA NA -4.006
2009 1 15 2 7 45 1 4 0 31.53496 -157.2954 8605.347 329.5046 335.0568 385.43 385.2114 385.07 385.468 1800.64 1799.597 6.6 0 20.48571 321.8255 89 1.825 0.219 0.36 -0.038 1.043
2009 1 15 2 15 40.5 1 4 42 30.78756 -157.1503 5022.573 540.5028 308.5278 386.41 NA 386.065 386.7295 1818.93 NA 6.74 0 649.1667 322.3955 54 2.808 NA 0.345 -0.319 NA
2009 1 15 2 23 10.5 1 4 42 30.2459 -157.0467 1515.151 839.9863 297.1785 389.86 388.3025 387.9175 389.0052 1849.26 1852.178 6.8 0 5807.5 322.5955 47.25 6.26 1.558 1.942 0.855 -2.918
2009 1 15 2 26 44.5 1 4 0 30.01011 -157.0019 309.2065 969.0892 293.764 379.71 388.6667 388.145 388.8865 1855.98 1862 6.86 0 17150 322.4555 44.75 -3.889 -8.957 -8.435 -9.177 -6.02
2009 1 15 3 21 35.5 1 4 44 23.50283 -157.0359 11463.2 229.0632 348.2375 386.98 387.34 386.7275 NA 1821.13 1827.132 6.68 0 17.86667 322.4855 41.33333 3.412 -0.36 0.252 NA -6.002
2009 1 15 3 29 5 1 4 44 22.49732 -157.266 7681.39 392.4312 332.8799 386.03 386.1086 NA 386.9117 1798.61 1808.281 6.71 0 823.4286 322.8155 36.28571 2.469 -0.079 NA -0.882 -9.671
2009 1 15 3 35 15 1 4 44 21.8071 -157.4222 4039.437 627.1005 314.326 386.53 NA 386.178 387.3658 1811.04 NA 6.69 0 2110 322.5655 48.8 2.975 NA 0.352 -0.836 NA
2009 1 16 21 28 33 1 5 0 18.23387 -159.3667 12868.38 187.1641 351.7263 385.88 385.646 NA 386.1697 1784.38 1787.311 6.63 0 11.41333 322.8712 24 2.401 0.234 NA -0.29 -2.931
2009 1 16 21 50 2.5 1 5 46 15.57437 -160.3022 11990.6 215.1271 347.3881 385.81 385.6017 NA 386.0023 1781.17 1785.753 6.63 0 43.975 322.7912 26.25 2.317 0.208 NA -0.192 -4.583
2009 1 16 21 56 16.5 1 5 46 14.85035 -160.5522 8955.998 334.3501 337.802 387.52 NA 387.0738 387.5726 1823.53 NA 6.85 0 126.5 322.8712 37.75 4.022 NA 0.446 -0.053 NA
2009 1 16 22 3 23.5 1 5 46 14.16726 -160.7886 5454.648 528.6461 323.3009 386.47 386.0283 385.91 386.453 1810.01 1827.06 6.65 0 668 322.6812 29.5 2.968 0.442 0.56 0.017 -17.05
2009 1 16 22 11 20.5 1 5 46 13.52288 -161.0103 1586.082 844.2456 306.7391 NA 386.59 386.3925 387.333 1811.92 1819.447 6.71 0 6267.5 323.0612 25 NA NA NA NA -7.527
2009 1 16 22 14 48.5 1 5 0 13.27511 -161.0952 324.671 977.5974 296.9529 NA NA 386.135 387.5955 1798.6 NA 6.7 0 24225 322.6012 16 NA NA NA NA NA
2009 1 16 22 55 26.5 1 5 0 10.08994 -162.1714 319.06 977.9681 297.6023 381.77 NA 385.91 387.1517 1798.41 NA 6.72 0 25325 322.8212 14.25 -1.767 NA -4.14 -5.382 NA
2009 1 16 23 3 12.5 1 5 49 9.533682 -162.3554 3954.079 636.8177 316.3714 387.24 387.515 386.6825 NA 1813.33 1819.172 6.76 0 2297.5 323.0312 40.25 3.699 -0.275 0.558 NA -5.842
2009 1 16 23 11 2.5 1 5 49 8.873049 -162.5728 7780.474 391.5201 335.1172 385.95 386.0813 NA 386.2011 1788.89 1794.289 6.61 0 256.375 322.7812 26.625 2.406 -0.131 NA -0.251 -5.399
2009 1 17 0 41 28.5 1 5 0 1.220058 -165.0863 9046.15 329.6505 339.5472 385.52 385.3512 385.12 385.7846 1768.68 1765.349 6.59 0 107.375 322.5312 22.375 1.96 0.169 0.4 -0.265 3.331
2009 1 17 0 52 57.5 1 5 54 0.1555877 -165.4472 5589.024 518.8901 321.9571 385.79 385.4133 385.0467 386.2117 1753.67 1766.803 6.63 0 4525 322.0712 22.33333 2.23 0.377 0.743 -0.422 -13.133
2009 1 17 1 0 27 1 5 54 -0.4685842 -165.6467 1935.488 809.1887 308.1994 388.87 385.678 NA 386.396 1777.97 1777.284 6.67 0 7070 322.4212 18 5.31 3.192 NA 2.474 0.686
2009 1 17 1 7 48.5 1 5 55 -1.00612 -165.8149 4744.58 576.7063 319.5669 NA 385.5667 385.2867 385.5855 1747.88 1752.265 6.5 0 8918.333 322.2412 10.83333 NA NA NA NA -4.385
2009 1 17 1 19 52.5 1 5 0 -2.299915 -166.22 9048.698 329.8954 340.0533 NA 385.1675 NA 385.6394 1764.59 1766.984 6.58 0 105.375 322.5012 23.625 NA NA NA NA -2.394
2009 1 17 1 28 25 1 5 56 -3.215112 -166.5071 5220.574 543.5218 322.7599 NA 385.08 NA 384.816 1748.92 1753.016 6.53 0 2916 321.9912 27.4 NA NA NA NA -4.096
2009 1 17 1 35 54.5 1 5 56 -3.905564 -166.7241 1603.431 841.4153 304.349 NA NA 385.3975 385.7002 1767.81 NA 6.58 0 8590 322.3012 18 NA NA NA NA NA
2009 1 17 1 39 18 1 5 0 -4.176588 -166.8093 303.122 977.9689 298.0306 NA 386.4833 386.0967 386.786 1766.88 1767.647 6.55 0 28100 322.7312 10 NA NA NA NA -0.767
2009 1 17 2 21 41.5 1 5 0 -7.693092 -168.1152 302.1365 977.595 300.0783 NA 385.9433 385.6275 386.2192 1766.06 1771.358 6.57 0 28025 322.5412 9.5 NA NA NA NA -5.298
2009 1 17 2 29 30.5 1 5 59 -8.156946 -168.3337 3708.682 654.9693 315.5983 NA 385.3833 NA NA 1747.35 1749.998 6.51 0 8311.667 321.9612 14.66667 NA NA NA NA -2.648
2009 1 17 2 38 2 1 5 59 -8.752495 -168.6007 7829.727 389.3174 336.8696 NA 385.3157 385.1214 385.5323 1761.08 1763.633 6.56 0 1049.571 322.2012 19 NA NA NA NA -2.553
2009 1 17 3 5 19 1 5 0 -11.69735 -169.7328 13836.84 161.6366 354.9413 NA 385.1187 384.6673 385.4266 1759.24 1760.655 6.51 0 20.07333 321.7312 30.13333 NA NA NA NA -1.415
2009 1 17 3 24 25 1 5 60 -13.77967 -170.5015 6045.122 491.8927 327.2022 NA 385.6286 385.2629 386.1111 1760.08 1767.851 6.58 0 6671.429 322.3212 15 NA NA NA NA -7.771
2009 1 18 21 56 27 1 6 0 -20.03717 -172.9455 12941.14 187.1819 350.713 385.28 384.5475 384.4769 385.1681 1760.97 1761.288 6.59 0 58.65385 322.697 24.48923 1.844 0.732 0.803 0.112 -0.318
2009 1 18 22 3 53 1 6 62 -20.87347 -173.2874 9391.122 316.273 340.7078 385.34 384.5057 384.3543 385.5156 1760.98 1768.187 6.55 0 902 322.387 29.98429 1.899 0.834 0.986 -0.176 -7.207
2009 1 18 22 10 56 1 6 62 -21.60999 -173.5917 6282.507 477.1632 327.8561 385.06 384.624 NA NA 1754.04 1755.506 6.54 0 6754 322.117 30.21 1.618 0.436 NA NA -1.466
2009 1 18 22 17 30 1 6 62 -22.13632 -173.8108 3064.786 709.6272 312.8639 383.63 384.308 383.796 384.051 1738.35 1738.06 6.52 0 14700 321.957 21.412 0.187 -0.678 -0.166 -0.421 0.29
2009 1 18 22 24 12 1 6 0 -22.61336 -174.0115 314.1012 979.3707 298.4239 371.67 383.764 383.55 385.1058 1727.18 1728.85 6.48 0 27000 321.397 13.516 -11.774 -12.094 -11.88 -13.436 -1.67
2009 1 18 22 27 58.5 1 6 63 -22.86498 -174.1178 1908.738 813.519 304.0225 381.48 384.255 NA 384.1162 1729.03 1733.497 6.48 0 21900 321.627 13.1975 -1.965 -2.775 NA -2.636 -4.467
2009 1 18 22 35 45.5 1 6 63 -23.36745 -174.3315 5679.474 514.549 324.6699 387.92 NA 384.9567 386.4727 1765.11 NA 6.6 0 5371.667 322.527 30.54833 4.474 NA 2.963 1.447 NA
2009 1 18 22 44 18 1 6 0 -24.04156 -174.6208 9056.81 329.6043 338.8103 385.68 385.0557 384.7286 385.7003 1763.87 1775.054 6.52 0 2091 322.577 27.67857 2.233 0.624 0.951 -0.02 -11.184
2009 1 18 23 6 34.5 1 6 0 -25.75764 -175.3736 308.119 980.7846 296.866 381.67 383.4667 383.625 384.0565 1727.24 1729.098 6.46 0 20650 321.567 16.9825 -1.781 -1.797 -1.955 -2.387 -1.858
2009 1 18 23 14 21 1 6 65 -26.27974 -175.6071 3797.948 647.0771 314.0909 384.8 NA 384.076 NA 1740.12 NA 6.46 0 4536 321.697 37.92 1.348 NA 0.724 NA NA
2009 1 18 23 22 11 1 6 65 -26.91874 -175.8968 7612.168 398.116 331.9838 384.53 384.4586 384.28 385.4519 1762.02 1772.199 6.62 0 1645.286 322.487 53.69571 1.076 0.071 0.25 -0.922 -10.179
2009 1 18 23 48 40 1 6 0 -29.08601 -176.9029 300.1173 980.1106 296.3991 377.94 383.46 383.68 385.116 1727.96 1727.72 6.5 0 23000 321.657 15.53333 -5.518 -5.52 -5.74 -7.176 0.24
2009 1 18 23 53 11.5 1 6 67 -29.37023 -177.0383 2161.022 786.7532 301.1995 378.98 383.84 383.795 NA 1732.84 1735.57 6.47 0 11675 321.927 22.8525 -4.479 -4.86 -4.815 NA -2.73
2009 1 19 0 0 53.5 1 6 67 -29.90369 -177.2942 5850.473 497.6389 323.4059 384.42 384.2275 NA 384.911 1761.98 1766.256 6.54 0 636.3333 322.197 52.12667 0.96 0.192 NA -0.491 -4.276
2009 1 19 0 8 30.5 1 6 0 -30.54743 -177.607 8887.354 330.5168 334.6473 384.64 384.3963 384.2063 384.5568 1764.02 1771.87 6.52 0 133.875 322.387 45.5375 1.18 0.244 0.434 0.083 -7.85
2009 1 19 0 32 35.5 1 6 0 -32.43442 -178.5565 302.553 977.8898 293.0427 380.47 382.8925 382.9575 383.2788 1730.96 1731.713 6.4 0 14250 321.417 19.9 -2.99 -2.422 -2.487 -2.809 -0.753
2009 1 19 0 40 48 1 6 69 -32.95882 -178.8274 3615.182 653.7885 308.3971 384.6 384.432 NA 385.1696 1734.85 1738.335 6.4 0 1284 321.637 28.016 1.14 0.168 NA -0.57 -3.485
2009 1 19 0 47 45 1 6 69 -33.49198 -179.1075 6904.666 426.4928 321.8331 384.46 384.372 384.154 NA 1744.38 1748.076 6.5 0 77.08 320.927 61.564 1 0.088 0.306 NA -3.696
2009 1 19 1 16 9 1 6 0 -35.68069 179.7088 306.162 974.4641 291.8033 382.75 NA 383.4633 383.625 1731.05 NA 6.43 0 13633.33 321.577 17.24 -0.718 NA -0.713 -0.875 NA
2009 1 19 2 12 56.5 1 6 72 -40.95377 176.0149 12928.8 170.0983 377.06 384.46 NA 384.1114 384.7722 1755.69 NA 6.42 1 3.377857 316.717 215.4436 0.97 NA 0.349 -0.312 NA
2009 1 19 2 21 13 1 6 72 -41.70629 175.2058 8959.858 309.3147 320.2848 384.39 383.7743 383.9043 384.5094 1743.82 1755.194 6.49 0 124.7143 321.457 52.85429 0.9 0.616 0.486 -0.119 -11.374
2009 1 19 2 27 49.5 1 6 72 -42.2428 174.6138 5906.784 476.633 311.9219 383.85 383.265 NA 384.8382 1732.81 1738.563 6.5 0 486.8333 321.997 24.65833 0.36 0.585 NA -0.988 -5.753
2009 1 19 2 36 57 1 6 72 -42.89151 173.8809 3368.833 663.3756 299.6996 383.7 383.344 383.372 384.3186 1730.88 1734.196 6.48 0 670.8 321.397 29.834 0.21 0.356 0.328 -0.619 -3.316
2009 1 19 2 50 6.5 1 6 72 -43.45466 172.6981 1225.796 866.3958 292.4423 382.17 382.9825 NA 382.8305 1734.69 1739.443 6.45 0 8105 321.577 21.9675 -1.32 -0.812 NA -0.66 -4.753
2009 1 20 22 33 28.5 1 7 0 -48.46141 169.8239 8679.901 329.698 322.3402 384.33 385.2075 385.47 384.9008 1742.6 1739.815 6.48 0 549.25 322.0728 32.75 1.14 -0.877 -1.14 -0.571 2.785
2009 1 20 22 45 3 1 7 76 -49.68501 169.9636 4786.499 560.8428 308.9436 384.01 NA 384.62 383.9924 1737.89 NA 6.45 0 4806 321.9728 38.6 0.82 NA -0.61 0.018 NA
2009 1 20 22 51 58.5 1 7 76 -50.31561 170.2786 1548.513 838.9169 293.2587 383.12 384.2975 383.695 NA 1729.26 1735.21 6.42 0 11050 321.5828 26 -0.07 -1.178 -0.575 NA -5.95
2009 1 20 22 55 52.5 1 7 77 -50.59328 170.5269 305.7565 974.1541 285.2188 381.68 NA 382.425 NA 1735.27 NA 6.41 0 14875 321.6828 15.25 -1.51 NA -0.745 NA NA
2009 1 20 23 38 39.5 1 7 0 -53.84865 173.723 273.532 978.1276 281.0842 382.81 383.31 382.8875 NA 1732.68 1734.572 6.4 0 9910 321.6728 14 -0.328 -0.5 -0.077 NA -1.892
2009 1 20 23 46 46 1 7 79 -54.37876 174.3 3771.148 629.0089 300.3215 383.9 384.5175 384.512 383.9386 1729.43 1732.902 6.41 0 1990 321.3628 25.4 0.772 -0.618 -0.612 -0.039 -3.472
2009 1 20 23 53 28.5 1 7 79 -54.86759 174.8485 6868.981 415.2305 315.2528 384.07 384.88 385.0433 383.7952 1735.68 1740.326 6.5 0 1246.667 321.9128 29 0.951 -0.81 -0.973 0.275 -4.646
2009 1 21 0 20 14 1 7 80 -57.07485 176.5167 242.108 977.2994 280.5899 383.29 383.27 NA 383.1018 1729.66 1731.972 6.41 0 8612 321.7928 15 0.18 0.02 NA 0.188 -2.312
2009 1 21 0 24 43.5 1 7 81 -57.3676 176.7454 1982.531 785.5106 289.8391 383.65 NA 384.2675 384.0415 1726.25 NA 6.46 0 2587.5 321.4928 21.25 0.54 NA -0.618 -0.392 NA
2009 1 21 0 32 32.5 1 7 81 -57.92539 177.1924 5539.26 493.063 306.5095 383.68 384.2867 384.5717 384.3575 1728.66 1736.527 6.39 0 310.5 321.3028 29.33333 0.57 -0.607 -0.892 -0.678 -7.867
2009 1 21 1 2 27.5 1 7 83 -60.51484 179.35 255.44 970.0092 278.0499 383.27 383.3733 383.035 383.2867 1731.33 1738.24 6.4 0 6967.5 321.8128 13 0.16 -0.103 0.235 -0.017 -6.91
2009 1 21 1 7 48.5 1 7 83 -60.88416 179.6088 2442.64 735.7045 289.7085 383.17 384.0275 384.0125 382.8752 1729.85 1734.253 6.43 0 2160 321.5028 16.25 0.061 -0.857 -0.842 0.295 -4.403
