year mon day hour min sec camp flt prof lat lon alt pressure theta co2 co2qcls co2oms co2ao2 strat h2oref n2oref o3ref co2mspo co2mqcls co2moms co2mao2
2009 1 16 22 7 50.27063 1 5 46 13.7944 -160.9171 3294 690.7129 314.7147 387.2243 386.924 386.7892 387.2182 0 3929.591 324.5734 37.52445 3.719 0.3 0.435 0.006
2009 1 16 22 11 11.45773 1 5 46 13.5344 -161.0064 1660 837.4123 306.3989 386.8949 386.5439 386.4335 386.8598 0 7089.565 324.302 28.8233 3.387 0.351 0.461 0.035
2009 1 16 22 14 42.26545 1 5 0 13.2824 -161.0927 343 975.5976 296.9248 NA NA 386.1129 386.7102 0 24673.51 324.0533 15.61297 NA NA NA NA
2009 1 16 23 16 55.50952 1 5 0 8.3035 -162.7597 9056 329.6107 339.6236 386.6354 386.3325 386.0023 386.6807 0 87.10572 323.3345 29.32616 3.09 0.303 0.633 -0.045
2009 1 16 23 22 28.34994 1 5 50 7.7789 -162.9313 6825 443.9412 331.5284 386.5256 385.9761 385.6303 386.3935 0 227.3828 323.8606 43.5595 2.978 0.55 0.895 0.132
2009 1 16 23 26 54.29658 1 5 50 7.38 -163.0614 4647 584.5158 319.699 386.4957 386.2925 385.8799 386.6945 0 1034.193 323.8043 52.26738 2.947 0.203 0.616 -0.199
2009 1 16 23 29 48.6761 1 5 50 7.1273 -163.1437 3237 694.6057 312.107 386.6753 386.6556 NA 386.5615 0 12702.12 323.8216 23.44523 3.125 0.02 NA 0.114
2009 1 16 23 33 16.11527 1 5 50 6.8374 -163.238 1560 847.3248 303.3902 386.7352 386.5968 385.946 386.7346 0 18383.55 323.5792 19.80084 3.184 0.138 0.789 0.001
2009 1 16 23 37 6.575192 1 5 0 6.5328 -163.337 320 976.9531 299.0312 386.5556 386.3899 385.8731 386.4958 0 28362.82 323.1366 13.61503 3.003 0.166 0.682 0.06
2009 1 17 1 2 42.95501 1 5 54 -0.6395 -165.7001 490 958.1562 297.5914 386.6753 385.9034 385.8652 386.7921 0 23338.01 323.7156 9.706947 3.113 0.772 0.81 -0.117
2009 1 17 1 6 52.94776 1 5 55 -0.9343 -165.7925 3906 641.0657 317.3891 386.865 386.8838 386.485 386.7426 0 3297.098 324.5771 31.19858 3.298 -0.019 0.38 0.122
2009 1 17 1 10 8.06134 1 5 55 -1.2242 -165.8831 6425 467.0472 329.2536 385.5474 385.5467 NA 385.7512 0 1837.546 324.2651 16.05426 1.977 0.001 NA -0.204
2009 1 17 1 15 15.27451 1 5 55 -1.7782 -166.0566 8963 333.6287 340.2949 385.5574 NA 385.0075 385.3766 0 109.0147 324.1446 22.21633 1.982 NA 0.55 0.181
2009 1 17 1 25 18.46678 1 5 56 -2.9219 -166.4151 6751 447.6754 331.8922 385.5474 385.2472 384.9182 385.6121 0 646.7815 323.4534 27.03777 1.962 0.3 0.629 -0.065
